Year,Week,Sampling Period,Site,Block,Host Plant,Branch ID,Ant Treatment,Leaf Count,Single Leaf Area,Branch Leaf Area,Total Caterpillars,Cumulative Cat Count,Total Ants,Total Saps,S1+S2 Sap Presence,Sap Presence,0% leaf dmg,1-20% leaf dmg,20-40% leaf dmg,40-60% leaf dmg,60-80% leaf dmg,80-100% leaf dmg,Leaf Area Lost,Number of Damaged Leaves
2012,3,S1,C,6,BI,CBI6C,tanglefoot,97,21.147,0.2051259,1,,0,0,,0,20,74,2,1,0,0,0.02220435,
2012,3,S1,C,6,BI,CBI6D,control,204,21.147,0.4313988,0,,2,0,,0,0,33,4,5,0,0,0.0105735,
2012,1,S1,C,1,HI,CHI1C,tanglefoot,84,45.41,0.381444,0,,0,0,,0,33,47,3,1,0,0,0.0254296,
2012,1,S1,C,1,HI,CHI1D,control,187,45.41,0.849167,0,,5,0,,0,61,110,13,0,3,0,0.09082,
2012,1,S1,C,2,HI,CHI2A,tanglefoot,263,45.41,1.194283,1,,1,0,,0,41,193,16,6,1,6,0.1507612,
2012,1,S1,C,2,HI,CHI2D,control,98,45.41,0.445018,1,,1,0,,0,15,59,4,6,9,5,0.0971774,
2012,2,S1,C,3,HI,CHI3A,tanglefoot,154,45.41,0.699314,0,,2,0,,0,38,93,12,7,2,2,0.0980856,
2012,2,S1,C,3,HI,CHI3B,control,129,45.41,0.585789,1,,3,0,,0,57,48,3,11,5,5,0.0622117,
2012,2,S1,C,3,HI,CHI3D,control,169,45.41,0.767429,3,,5,0,,0,70,88,11,0,0,0,0.0594871,
2012,2,S1,C,4,HI,CHI4B,control,151,45.41,0.685691,0,,0,0,,0,65,82,2,2,0,0,0.0603953,
2012,2,S1,C,4,HI,CHI4C,tanglefoot,232,45.41,1.053512,1,,0,0,,0,112,88,18,9,2,3,0.0944528,
2012,3,S1,C,5,HI,CHI5C,tanglefoot,69,45.41,0.313329,0,,0,0,,0,8,39,13,5,4,0,0.0526756,
2012,3,S1,C,5,HI,CHI5D,control,84,45.41,0.381444,0,,0,0,,0,0,32,1,2,2,1,0.0286083,
2012,3,S1,C,6,HI,CHI6A,tanglefoot,100,45.41,0.4541,0,,0,0,,0,47,50,2,1,0,0,0.0254296,
2012,3,S1,C,6,HI,CHI6B,control,84,45.41,0.381444,1,,0,0,,0,18,66,0,0,0,0,0.0299706,
2012,1,S1,C,1,RM,CRM1A,tanglefoot,151,35.68775,0.538885025,6,,4,0,,0,11,126,13,0,0,1,0.069234235,
2012,1,S1,C,1,RM,CRM1B,control,165,35.68775,0.588847875,6,,6,0,,0,9,144,7,4,1,0,0.06138293,
2012,1,S1,C,1,RM,CRM1C,tanglefoot,192,35.68775,0.6852048,10,,1,0,,0,20,157,14,0,1,0,0.078869928,
2012,1,S1,C,1,RM,CRM1D,control,300,35.68775,1.0706325,4,,4,0,,0,19,274,4,3,0,0,0.102066965,
2012,1,S1,C,2,RM,CRM2A,tanglefoot,156,35.68775,0.5567289,3,,0,0,,0,23,124,9,0,0,0,0.05567289,
2012,1,S1,C,2,RM,CRM2B,control,167,35.68775,0.595985425,3,,0,0,,0,80,85,0,1,0,1,0.042468423,
2012,1,S1,C,2,RM,CRM2D,control,151,35.68775,0.538885025,7,,2,0,,0,10,111,23,5,2,0,0.078156173,
2012,2,S1,C,3,RM,CRM3A,tanglefoot,169,35.68775,0.603122975,5,,0,0,,0,43,115,6,5,0,0,0.065308583,
2012,2,S1,C,3,RM,CRM3B,control,207,35.68775,0.738736425,7,,2,0,,0,0,176,21,10,0,0,0.085293723,
2012,2,S1,C,3,RM,CRM3C,tanglefoot,213,35.68775,0.760149075,5,,0,0,,0,34,160,17,0,2,0,0.091003763,
2012,2,S1,C,3,RM,CRM3D,control,151,35.68775,0.538885025,3,,0,0,,0,70,61,14,6,0,0,0.054602258,
2012,2,S1,C,4,RM,CRM4A,tanglefoot,137,35.68775,0.488922175,8,,0,0,,0,0,92,31,10,4,0,0.079583683,
2012,2,S1,C,4,RM,CRM4B,control,103,35.68775,0.367583825,1,,0,0,,0,2,81,13,2,4,1,0.06138293,
2012,2,S1,C,4,RM,CRM4C,tanglefoot,91,35.68775,0.324758525,3,,0,0,,0,0,76,12,3,0,0,0.056029768,
2012,2,S1,C,4,RM,CRM4D,control,138,35.68775,0.49249095,2,,0,0,,0,30,83,14,9,2,0,0.05139036,
2012,3,S1,C,5,RM,CRM5A,tanglefoot,166,35.68775,0.59241665,0,,0,0,,0,15,146,4,1,0,0,0.061739808,
2012,3,S1,C,5,RM,CRM5B,control,138,35.68775,0.49249095,1,,6,0,,0,0,114,20,3,1,0,0.066379215,
2012,3,S1,C,5,RM,CRM5C,tanglefoot,87,35.68775,0.310483425,0,,0,0,,0,1,64,17,1,2,2,0.05424538,
2012,3,S1,C,5,RM,CRM5D,control,118,35.68775,0.42111545,1,,1,0,,0,16,92,6,1,2,1,0.05281787,
2012,3,S1,C,6,RM,CRM6A,tanglefoot,112,35.68775,0.3997028,2,,0,0,,0,8,84,16,3,1,0,0.078156173,
2012,3,S1,C,6,RM,CRM6C,tanglefoot,160,35.68775,0.571004,5,,0,0,,0,0,64,60,16,9,11,0.159167365,
2012,3,S1,C,6,RM,CRM6D,control,145,35.68775,0.517472375,5,,0,0,,0,2,127,4,8,4,0,0.064951705,
2012,1,S1,C,1,RO,CRO1A,tanglefoot,90,57.1529722,0.51437675,2,,0,0,,0,12,53,21,3,1,0,0.084586399,
2012,1,S1,C,1,RO,CRO1C,tanglefoot,134,57.1529722,0.765849827,2,,6,0,,0,10,101,7,5,8,3,0.142882431,
2012,1,S1,C,1,RO,CRO1D,control,213,57.1529722,1.217358308,2,,26,0,,0,95,101,8,9,0,0,0.100017701,
2012,1,S1,C,2,RO,CRO2A,tanglefoot,117,57.1529722,0.668689775,2,,0,0,,0,0,84,22,10,1,0,0.101160761,
2012,1,S1,C,2,RO,CRO2B,control,298,57.1529722,1.703158572,3,,16,0,,0,1,213,63,4,0,17,0.345775482,
2012,1,S1,C,2,RO,CRO2D,control,194,57.1529722,1.108767661,1,,0,0,,0,6,150,19,10,2,7,0.170887387,
2012,2,S1,C,3,RO,CRO3D,control,101,57.1529722,0.577245019,2,,5,0,,0,8,45,43,3,2,0,0.118878182,
2012,2,S1,C,4,RO,CRO4A,tanglefoot,65,57.1529722,0.371494319,1,,0,0,,0,2,44,13,4,0,2,0.083443339,
2012,2,S1,C,4,RO,CRO4B,control,118,57.1529722,0.674405072,4,,9,0,,0,57,16,13,9,4,19,0.262332142,
2012,2,S1,C,4,RO,CRO4C,tanglefoot,49,57.1529722,0.280049564,3,,0,0,,0,7,-40,22,41,9,10,0.128022658,
2012,3,S1,C,5,RO,CRO5A,tanglefoot,201,57.1529722,1.148774741,2,,3,0,,0,11,154,21,9,4,2,0.170315857,
2012,3,S1,C,5,RO,CRO5B,control,90,57.1529722,0.51437675,0,,0,0,,0,4,68,9,7,2,0,0.065154388,
2012,3,S1,C,5,RO,CRO5C,tanglefoot,100,57.1529722,0.571529722,0,,0,0,,0,34,62,2,1,0,1,0.046865437,
2012,3,S1,C,5,RO,CRO5D,control,65,57.1529722,0.371494319,0,,2,0,,0,7,52,3,1,1,1,0.069726626,
2012,3,S1,C,6,RO,CRO6C,tanglefoot,58,57.1529722,0.331487239,3,,0,0,,0,3,17,13,9,7,9,0.134881014,
2012,3,S1,C,6,RO,CRO6D,control,84,57.1529722,0.480084966,3,,2,0,,0,5,60,3,10,2,4,0.090873226,
2012,1,S1,C,1,WH,CWH1A,tanglefoot,117,23.85,0.279045,2,,1,0,,0,17,72,19,8,0,1,0.035298,
2012,1,S1,C,1,WH,CWH1B,control,159,23.85,0.379215,1,,4,0,,0,42,111,1,2,1,2,0.0379215,
2012,1,S1,C,1,WH,CWH1C,tanglefoot,198,23.85,0.47223,3,,0,0,,0,15,152,15,4,5,7,0.0751275,
2012,1,S1,C,1,WH,CWH1D,control,115,23.85,0.274275,1,,1,0,,0,10,79,21,4,0,1,0.044361,
2012,1,S1,C,2,WH,CWH2A,tanglefoot,358,23.85,0.85383,2,,0,0,,0,41,296,11,7,3,0,0.093015,
2012,1,S1,C,2,WH,CWH2B,control,233,23.85,0.555705,6,,1,0,,0,6,196,3,8,4,16,0.107802,
2012,1,S1,C,2,WH,CWH2C,tanglefoot,265,23.85,0.632025,2,,0,0,,0,11,152,54,15,10,23,0.1504935,
2012,1,S1,C,2,WH,CWH2D,control,156,23.85,0.37206,2,,0,0,,0,10,104,10,8,16,8,0.102078,
2012,2,S1,C,3,WH,CWH3A,tanglefoot,255,23.85,0.608175,1,,0,0,,0,17,190,14,22,8,4,0.0880065,
2012,2,S1,C,3,WH,CWH3B,control,120,23.85,0.2862,2,,0,0,,0,12,92,7,9,0,0,0.032913,
2012,2,S1,C,3,WH,CWH3C,tanglefoot,224,23.85,0.53424,6,,0,0,,0,45,111,60,5,2,1,0.0999315,
2012,2,S1,C,3,WH,CWH3D,control,286,23.85,0.68211,3,,0,0,,0,53,199,10,21,2,1,0.072027,
2012,2,S1,C,4,WH,CWH4A,tanglefoot,141,23.85,0.336285,1,,1,0,,0,4,93,25,10,4,5,0.0908685,
2012,2,S1,C,4,WH,CWH4B,tanglefoot,203,23.85,0.484155,4,,3,0,,0,8,125,36,28,5,1,0.0756045,
2012,2,S1,C,4,WH,CWH4D,control,263,23.85,0.627255,2,,13,0,,0,25,215,7,8,7,1,0.082044,
