Replicate,Duration,Date,Dorm,Column,PEMV,Source Species,Weevil,Ladybird,Source weevil damage,Plant Number,Total Aphids,Total Adults,Total Nymphs,Top Maternal,Top Nymph,Top Total,Middle Maternal,Middle Nymph,Middle Total,Bottom Maternal,Bottom Nymph,Bottom Total,Weevil Herbivory
1,1,8.2.2017,31,B,,Pea,Absent,Absent,No,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,32,A,,Pea,Absent,Absent,No,1,2,2,0,2,0,2,0,0,0,0,0,0,No
1,1,8.2.2017,32,B,,Pea,Absent,Absent,No,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,1,A,,Vetch,Present,Absent,Yes,2,1,0,1,0,0,0,0,0,0,0,1,1,No
1,1,8.2.2017,1,B,,Vetch,Present,Absent,Yes,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,2,A,,Vetch,Present,Absent,No,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,2,B,,Vetch,Present,Absent,No,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,3,A,,Vetch,Present,Absent,Yes,2,0,0,0,0,0,0,0,0,0,0,0,0,Yes
1,1,8.2.2017,3,B,,Vetch,Present,Absent,Yes,2,4,1,3,0,0,0,1,3,4,0,0,0,No
1,1,8.2.2017,4,A,,Vetch,Present,Absent,Yes,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,4,B,,Vetch,Present,Absent,Yes,2,3,1,2,1,2,3,0,0,0,0,0,0,No
1,1,8.2.2017,5,A,,Pea,Present,Present,Yes,2,0,0,0,0,0,0,0,0,0,0,0,0,Yes
1,1,8.2.2017,5,B,,Pea,Present,Present,Yes,2,0,0,0,0,0,0,0,0,0,0,0,0,Yes
1,1,8.2.2017,6,A,,Pea,Present,Present,Yes,2,0,1,1,0,0,0,0,0,0,1,1,2,No
1,1,8.2.2017,6,B,,Pea,Present,Present,Yes,2,0,1,1,0,0,0,0,0,0,1,1,2,Yes
1,1,8.2.2017,7,A,,Pea,Present,Absent,No,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,7,B,,Pea,Present,Absent,No,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,8,A,,Pea,Present,Present,Yes,2,3,1,2,0,0,0,0,0,0,1,2,3,Yes
1,1,8.2.2017,8,B,,Pea,Present,Present,Yes,2,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,9,A,,Pea,Present,Absent,No,2,0,0,0,0,0,0,0,0,0,0,0,0,No
